color,l,a,b,parent
栗紫,26.70935139,27.64071136,11.01444934,黑
栗红,35.03,46.062,28.279,赤
栗色,24.724,29.51,17.204,黑
栾华,70.804,-3.555,42.74,黄
桂皮淡棕,65.78960326,11.96795566,28.50234202,流黄
桂皮色,57.042,12.305,26.671,流黄
桂红,59.58654729,52.39111782,35.06366665,赤
桂花黄绿,61,-10,22,绿
桃夭,82.159,21.545,2.754,白
桃色,60.847,50.55,-6.69,红
桑皮绿,75.52125052,-14.74935255,-0.056009204,碧
桑蕾,86.474,-2.721,32.864,黄
桔梗紫,46.89095887,34.2557376,-28.4701343,紫
梅子青,83.438,-11.948,14.568,白
梧枝绿,67.76744188,-18.36006148,-0.268913257,碧
棕叶绿,56.18803313,1.745283489,40.84557828,流黄
棕榈绿,38.44039879,1.622833423,38.91483889,流黄
棕灰,68.5,6.9,8.1,白
棕红,36.166,15.002,11.79533333,黑
棕茶,58.99,8.831,31.412,流黄
棕茶色,55.42,16.437,29.361,流黄
棕褐,37.866,29.147,28.576,赤
棠梨,48.345,33.336,29.311,赤
棠梨褐,44.371,21.685,24.056,赤
植物花青,43.93,-7.87,-11.44,青
椒房,69.218,16.887,41.456,黄
椒褐,42.3065,24.0845,12.2165,红
椰壳棕,37.94549207,29.39094435,30.86318951,赤
椹汁紫,30.76037968,27.11175255,-20.92872193,紫
楝色,62.102,10.869,-24.533,青
榅桲红,52.72787663,42.51468342,3.595144259,红
榲桲红,53.041,72.51,14.221,红
榴子红,70.7098143,34.12034538,14.18523259,红
榴花红,55.01933315,54.6050148,40.2364207,赤
榴萼黄,74.57713406,24.47148913,55.80104992,黄
槐花,90.3,3.3,10.6,白
槐花黄绿,82.84017425,-17.14020024,43.91197591,黄
槐黄,88.927,-13.895,67.36,黄
槟榔棕,48.52499542,27.40465971,44.5686138,赤
槲寄生绿,28.42962339,-5.430212459,1.348695782,黑
槿紫,55.58558178,18.15462323,-24.57547582,紫
樫鸟蓝,54.32914174,-19.44986389,-19.4657309,青
樱桃红,47.22259954,65.8124833,38.60219645,赤
樱桃色,47.622,64.257,15.921,红
樱红,52,61,28,赤
樱花,79.375,20.531,-8.54,白
樱花红,85.52729296,10.94925146,-3.30517337,白
樱草紫,53.74332759,33.30844808,-7.344292173,紫
樱草色,86.2685,-9.0135,54.21,黄
橄榄石灰,55.11479314,-7.373097845,1.89656192,青
橄榄石绿,73.03531567,-19.38059303,28.97952934,绿
橄榄黄绿,74.3023472,-20.73424996,56.12354016,黄
橘橙,69.61311218,36.17388229,55.09070327,赤
橘红,59.11,44.224,54.88,赤
橘黄,62.772,38.293,47.355,赤
橙皮黄,75.10175896,26.75738236,78.87547051,黄
橙色,57.891,30.342,50.018,赤
橡树棕,38.40386674,18.41597789,13.6143009,黑
檀唇,70.355,19.991,18.237,红
檀紫,27.39223428,21.40425386,-3.435159954,紫
檀色,51.358,25.739,15.65433333,红
檀褐,43.078,22.486,29.93,赤
檀香色,61.019,15.909,47.727,流黄
檎丹,54.158,60.446,52.046,赤
檗黄色,89.4255,-3.6105,38.0075,黄
欧碧,82.63,-18.276,29.743,绿
正灰,66.812,-2.176,-3.685,碧
正青,65.19,-17.571,-9.757,碧
毛月色,50.162,1.1435,-30.451,青
毛绿,62.83496109,-25.08266185,7.744251823,碧
毛青,27.21,-0.13,-24.75,黑
水兰,69,-29,-13,碧
水华朱,36.829,53.072,32.261,赤
水晶末,77.7765,13.952,22.833,白
水牛灰,30.93976753,2.518231269,-8.075139205,黑
水绿,46,-22,14,绿
水色,64.204,-11.246,-2.656,碧
水蓝,89.188,-5.258,-3.985,白
水貂灰,62.913,-3.705,3.446,碧
水黄,81.64,-10.768,15.306,白
水龙吟,63.92,-29.619,57.069,黄
汉白玉,96.316,0.13,3.837,白
沉香,55.374,6.453,14.444,绿
沙绿,47.7205,-17.358,0.707,青
沙青,38.571,-6.3805,-21.1465,青
沙饧,69.126,1.572,31.308,流黄
沙鱼灰,28.80295571,3.261279895,-8.757983372,黑
沧浪,82.435,-14.438,2.471,白
河豚灰,37.35855513,-3.685460951,1.460484231,黑
油烟墨,31.5435,-0.856,1.8255,黑
油紫,13.249,29.798,-8.929,紫
油菜花黄,89.28522172,-2.103273855,61.28373911,黄
油葫芦,34.476,5.71,20.268,黑
油青,29.202,1.826,18.591,黑
沼绿,33.72245366,-6.660582759,-3.142163348,黑
法国梧桐皮色,61.99,-5.315,10.571,绿
法翠,52.703,-26.239,-14.616,青
法螺红,65.181,38.686,41.844,赤
波根红,77,31,1,红
泥灰,56,5,12.7,绿
洋水仙红,84.17862545,17.54888156,5.461747688,白
洋红,50.4705,55.744,-10.525,红
洋葱紫,49.50624366,33.01844846,-3.455447662,紫
洛神珠,47.878,58.187,52.528,赤
流黄,57.7035,10.726,46.721,流黄
浅中灰,74.54,1.1,1.72,白
浅中绿,58,-38,-5,碧
浅云,93.88,-0.787,-1.912,白
浅兰绿,85,-16,-1,白
浅凤仙紫,66.185,32.351,-31.066,紫
浅咖啡,50,8,10,青
浅品兰,40,-6,-42,青
浅土蓝,38.27,-1.372,-16.801,青
浅天兰,78,-17,-12,碧
浅妃,90,17,6,白
浅姜黄,81,12,50,黄
