color,from,l,a,b
石蕊红,色谱_perchouli,84.383,14.688,2.17
淡曙红,色谱_perchouli,51.923,72.622,34.349
石竹红,色谱_perchouli,55.805,64.67,22.181
淡茜红,色谱_perchouli,64.452,43.057,9.073
山黎豆红,色谱_perchouli,59.584,28.795,4.913
淡蕊香红,色谱_perchouli,55.864,64.873,20.49
月季红,色谱_perchouli,53.0,49.056,11.563
尖晶玉红,色谱_perchouli,43.83,66.502,30.205
水红,色谱_perchouli,83.227,17.365,1.566
姜红,色谱_perchouli,79.841,21.107,1.983
锦葵红,色谱_perchouli,44.59,56.275,15.29
粉团花红,色谱_perchouli,72.426,32.605,3.219
晶红,色谱_perchouli,75.371,28.897,2.014
芍药绯红,色谱_perchouli,73.586,30.435,1.575
豇豆红,色谱_perchouli,73.113,32.598,1.466
报春红,色谱_perchouli,68.529,40.306,2.584
淡绛红,色谱_perchouli,64.158,48.693,4.181
凤仙花红,色谱_perchouli,63.043,49.625,4.252
霞光红,色谱_perchouli,67.171,44.935,2.913
喜蛋红,色谱_perchouli,52.465,72.579,17.019
夹竹桃红,色谱_perchouli,56.989,62.874,7.795
松叶牡丹红,色谱_perchouli,54.1,68.769,12.035
莲瓣红,色谱_perchouli,56.992,62.271,7.188
白芨红,色谱_perchouli,62.677,43.005,1.225
榲桲红,色谱_perchouli,53.041,72.51,14.221
酢酱草红,色谱_perchouli,57.391,36.782,0.044
榲桲红,色谱_perchouli,53.041,72.51,14.221
酢酱草红,色谱_perchouli,57.391,36.782,0.044
初荷红,色谱_perchouli,60.727,49.877,-0.996
葡萄酒红,色谱_perchouli,20.694,37.729,3.578
菠根红,色谱_perchouli,49.559,61.832,2.524
兔眼红,色谱_perchouli,57.194,65.066,1.041
嫩菱红,色谱_perchouli,52.447,65.193,2.169
吊钟花红,色谱_perchouli,55.037,48.901,-2.674
紫荆红,色谱_perchouli,53.346,74.583,5.64
扁豆花红,色谱_perchouli,57.061,67.852,0.32
藏花红,色谱_perchouli,53.081,73.932,4.608
丹紫红,色谱_perchouli,54.296,54.156,-4.879
玫瑰红,色谱_perchouli,49.17,65.311,-3.482
菱锰红,色谱_perchouli,61.051,41.542,-8.225
龙须红,色谱_perchouli,53.501,53.885,-11.476
电气石红,色谱_perchouli,52.18,50.092,-11.234
鲑鱼红,色谱_perchouli,71.585,25.221,46.888
陶瓷红,色谱_perchouli,57.879,44.016,57.372
菠萝红,色谱_perchouli,65.428,45.86,60.388
余烬红,色谱_perchouli,58.412,31.069,42.284
火砖红,色谱_perchouli,53.883,38.885,51.013
初桃粉红,色谱_perchouli,89.504,6.744,10.144
介壳淡粉红,色谱_perchouli,85.98,10.96,15.685
蟹壳红,色谱_perchouli,63.423,43.697,55.838
燕颔红,色谱_perchouli,61.377,55.446,66.472
晨曦红,色谱_perchouli,66.591,32.667,41.824
玉粉红,色谱_perchouli,77.361,15.331,20.517
野蔷薇红,色谱_perchouli,72.426,32.142,41.056
绀红,色谱_perchouli,44.697,31.751,37.416
莓酱红,色谱_perchouli,60.095,57.378,64.29
瓜瓤红,色谱_perchouli,68.895,36.349,40.779
淡藏花红,色谱_perchouli,76.961,23.184,26.118
润红,色谱_perchouli,85.539,12.282,14.007
龙睛鱼红,色谱_perchouli,59.393,51.278,56.273
芙蓉红,色谱_perchouli,63.768,48.539,52.826
落霞红,色谱_perchouli,49.437,51.31,55.247
法螺红,色谱_perchouli,65.181,38.686,41.844
草珠红,色谱_perchouli,93.921,3.544,3.991
蟹蝥红,色谱_perchouli,44.991,39.536,40.347
草莓红,色谱_perchouli,61.82,46.776,44.782
洋水仙红,色谱_perchouli,83.772,14.041,12.528
朱红,色谱_perchouli,56.123,58.183,55.407
榴花红,色谱_perchouli,55.719,63.632,60.972
柿红,色谱_perchouli,55.682,63.008,59.813
淡罂粟红,色谱_perchouli,73.034,26.652,22.268
蜻蜓红,色谱_perchouli,55.0,64.138,58.477
颊红,色谱_perchouli,75.656,23.188,17.171
铁水红,色谱_perchouli,54.479,68.813,58.805
胭脂红,色谱_perchouli,54.253,65.643,54.898
极光红,色谱_perchouli,54.331,67.689,57.33
红汞红,色谱_perchouli,54.501,66.542,55.694
萝卜红,色谱_perchouli,54.084,66.851,55.71
曲红,色谱_perchouli,58.307,56.582,41.896
谷鞘红,色谱_perchouli,63.854,45.95,31.08
苹果红,色谱_perchouli,57.804,58.409,43.527
桂红,色谱_perchouli,58.649,57.3,41.833
夕阳红,色谱_perchouli,48.582,66.251,54.08
樱桃红,色谱_perchouli,52.384,68.298,54.451
珊瑚红,色谱_perchouli,55.821,62.456,45.576
栗棕,色谱_perchouli,21.112,28.051,18.446
鹤顶红,色谱_perchouli,46.159,64.65,51.824
舌红,色谱_perchouli,71.454,32.971,17.96
鹅血石红,色谱_perchouli,40.57,46.844,31.361
鱼鳃红,色谱_perchouli,53.324,66.296,48.578
丽春红,色谱_perchouli,50.838,70.783,56.072
覆盆子红,色谱_perchouli,37.517,54.694,41.049
榴子红,色谱_perchouli,69.856,36.192,17.963
秋海棠红,色谱_perchouli,51.489,70.119,52.252
无花果红,色谱_perchouli,77.299,23.09,10.259
淡菽红,色谱_perchouli,55.149,62.699,38.677
枸枢红,色谱_perchouli,52.528,68.75,45.692
隐红灰,色谱_perchouli,65.635,12.273,-0.682
中红灰,色谱_perchouli,45.047,14.445,18.208
淡米粉,色谱_perchouli,94.802,2.391,7.369
瓜瓤粉,色谱_perchouli,84.339,8.214,38.0
落英淡粉,色谱_perchouli,92.755,1.95,13.759
玫瑰粉,色谱_perchouli,78.306,19.223,36.396
淡桃红,色谱_perchouli,85.8,12.101,11.717
淡豆沙,色谱_perchouli,35.237,29.846,30.009
豆沙,色谱_perchouli,17.416,19.846,10.943
淡绯,色谱_perchouli,84.657,13.939,5.785
杏黄,色谱_perchouli,69.279,34.007,71.631
淡橘橙,色谱_perchouli,74.264,22.966,75.68
淡肉色,色谱_perchouli,90.047,1.222,26.551
橘橙,色谱_perchouli,65.668,42.287,67.42
美人焦橙,色谱_perchouli,66.038,42.317,65.625
海螺橙,色谱_perchouli,69.824,29.63,43.283
金莲花橙,色谱_perchouli,62.14,50.551,64.393
藕荷,色谱_perchouli,81.889,11.886,16.174
醉瓜肉,色谱_perchouli,63.515,27.306,49.854
牙色,色谱_perchouli,86.4,0.055,35.42
米白,色谱_perchouli,90.471,6.119,12.08
石黄,色谱_perchouli,76.753,5.797,56.675
葵黄,色谱_perchouli,84.122,3.397,83.467
驼色,色谱_perchouli,32.641,10.263,22.227
土黄,色谱_perchouli,69.133,9.379,67.989
藤黄,色谱_perchouli,85.359,0.83,84.497
姜黄,色谱_perchouli,78.472,-2.017,73.617
淡土黄,色谱_perchouli,39.294,25.008,27.415
蝶黄,色谱_perchouli,84.876,-12.855,68.413
佛手黄,色谱_perchouli,86.874,-2.087,84.228
香蕉黄,色谱_perchouli,78.345,-1.075,78.058
油菜花黄,色谱_perchouli,87.503,-3.79,74.6
秋葵黄,色谱_perchouli,83.821,-3.998,69.211
柚黄,色谱_perchouli,82.383,-1.054,80.75
草黄,色谱_perchouli,73.887,-2.55,67.6
硫华黄,色谱_perchouli,83.546,-2.247,77.453
金瓜黄,色谱_perchouli,85.43,-0.443,83.522
麦秆黄,色谱_perchouli,88.877,-4.809,56.731
蒿黄,色谱_perchouli,78.856,-3.258,64.584
茉莉黄,色谱_perchouli,88.899,-4.654,55.831
芒果黄,色谱_perchouli,80.669,-3.959,45.9
柠檬黄,色谱_perchouli,85.788,-0.193,76.32
素馨黄,色谱_perchouli,83.689,3.12,82.361
